Node_Name,Incoming_Edges,Outgoing_Edges,Total_Edges
PRKACG,1,4,5
TMPO,5,0,5
CDC16,5,0,5
SF3B1,5,0,5
HNRNPD,4,1,5
DUSP2,0,5,5
DUSP10,1,4,5
VEGFB,1,4,5
PDGFC,2,3,5
PROK1,0,5,5
PRMT6,0,5,5
KNL1,3,2,5
CYP2E1,4,1,5
TCL1A,2,3,5
ALDH1A2,3,2,5
TLR7,2,3,5
SYNJ1,4,1,5
FHL1,4,1,5
WIPI1,4,1,5
KLK2,1,4,5
DDC,5,0,5
ASF1A,3,2,5
SLC6A4,5,0,5
TAF1,1,4,5
TAC1,1,4,5
PIK3R4,3,2,5
UGT1A1,5,0,5
TRIB3,2,3,5
TLE3,5,0,5
TAL2,5,0,5
PRDM2,3,2,5
TLK2,4,1,5
ASXL2,3,2,5
MAD2L2,1,4,5
MACF1,2,3,5
MAP3K6,2,3,5
DSC3,2,3,5
METTL3,3,2,5
PLAGL2,2,3,5
ADRA1D,1,4,5
RIF1,5,0,5
TRPC4,4,1,5
CLDN19,1,4,5
IGFBP7,3,2,5
CTCFL,0,5,5
HOXB8,0,5,5
HOXB7,3,2,5
FANCC,2,3,5
FLT3LG,4,1,5
TFAP2B,2,3,5
CDC42BPB,1,4,5
RAPGEF2,3,2,5
REV3L,5,0,5
GPX1,5,0,5
LAMC3,0,5,5
DUSP9,0,5,5
USP6,2,3,5
USP10,3,2,5
DSG2,3,2,5
ENDOG,4,1,5
PTPRT,1,4,5
AHSG,3,2,5
AGTR2,4,1,5
MALT1,3,2,5
TXNRD1,4,1,5
NET1,4,1,5
CNTFR,2,3,5
NCOA6,2,3,5
RAPGEF5,1,4,5
LPIN1,4,1,5
MAP3K12,2,3,5
CHGA,5,0,5
CBS,5,0,5
ACAN,5,0,5
CEP250,5,0,5
EMD,4,1,5
COX5B,4,1,5
CCNC,3,2,5
CKS1B,2,3,5
LGR5,5,0,5
SEMA4D,2,3,5
SEMA3B,1,4,5
IREB2,5,0,5
CCR8,5,0,5
TIMELESS,1,4,5
HLA-DPB1,1,4,5
HLA-DMA,2,3,5
SOX17,2,3,5
SOST,2,3,5
PFKM,5,0,5
ITGAD,4,1,5
HLA-DRB5,1,4,5
ANGPTL2,0,5,5
FGF23,0,5,5
CTNNA3,2,3,5
HLA-DQB1,1,4,5
BARD1,2,3,5
NKRF,0,5,5
MCM7,5,0,5
CYTH2,3,2,5
SKP1,3,2,5
ECE1,4,1,5
PALB2,1,4,5
PPARGC1B,2,3,5
ABCG2,5,0,5
ODC1,5,0,5
KDM6B,3,2,5
SOCS7,0,5,5
TRIM9,4,1,5
TRIM59,2,3,5
PLXNA4,5,0,5
RNF43,4,1,5
RNF2,4,1,5
WASF2,5,0,5
SCRIB,5,0,5
RIPK4,5,0,5
PSMA3,5,0,5
H1-4,5,0,5
MYBBP1A,5,0,5
NPR1,5,0,5
GABRR1,5,0,5
CETN2,5,0,5
TNFRSF12A,3,2,5
ANKRD1,4,1,5
TNFRSF21,2,2,4
DBF4,4,0,4
LIG4,4,0,4
POLD3,4,0,4
KIF5B,2,2,4
STAG2,1,3,4
SOHLH1,0,4,4
RBM10,1,3,4
OTUD7B,3,1,4
KIF14,3,1,4
RRM2,4,0,4
SEMA6D,0,4,4
F13A1,1,3,4
MYLK2,3,1,4
MYLK3,0,4,4
RASGRF2,1,3,4
TRIP10,4,0,4
PIP4K2A,4,0,4
KRT16,4,0,4
LORICRIN,4,0,4
TYR,3,1,4
MAGI2,0,4,4
DCTN1,3,1,4
HLA-G,2,2,4
ITGA8,3,1,4
ZIC1,0,4,4
ZFHX3,2,2,4
NINL,3,1,4
GLS,4,0,4
HLA-DOA,1,3,4
HLA-DOB,1,3,4
HLA-DPA1,0,4,4
UBE2V1,1,3,4
HIF3A,2,2,4
RNF125,1,3,4
PSMA7,3,1,4
HIP1,2,2,4
NLRP1,2,2,4
NLRX1,0,4,4
FSTL3,2,2,4
USP22,2,2,4
DUSP7,0,4,4
LAMTOR3,0,4,4
CCNK,4,0,4
OGG1,4,0,4
PPM1J,4,0,4
TRPM4,3,1,4
ZP3,1,3,4
RAPGEF3,1,3,4
ARHGEF15,2,2,4
NQO1,3,1,4
LMX1B,0,4,4
SLCO1B3,4,0,4
FOXC2,4,0,4
NEK7,1,3,4
FIP1L1,3,1,4
FYCO1,2,2,4
PDIA6,1,3,4
UFD1,2,2,4
VPS39,3,1,4
RAC3,2,2,4
NRG3,0,4,4
DNAJB1,2,2,4
CRX,2,2,4
PARK7,3,1,4
NUP98,4,0,4
DSC1,1,3,4
DSC2,1,3,4
IL12RB2,4,0,4
PDIA3,4,0,4
PTGES,4,0,4
MIA,0,4,4
SLIT3,0,4,4
SLN,2,2,4
IL32,2,2,4
GLS2,4,0,4
PDK4,3,1,4
ERF,4,0,4
TNFRSF10C,2,2,4
TNFRSF10D,3,1,4
DUOX1,2,2,4
POT1,0,4,4
HOXA13,2,2,4
HNRNPA2B1,3,1,4
PRICKLE1,3,1,4
SCD,4,0,4
AMHR2,2,2,4
CYSLTR2,0,4,4
CCL27,0,4,4
MAFF,2,2,4
EGLN1,3,1,4
PPIF,3,1,4
STIP1,2,2,4
STAM,4,0,4
KIDINS220,4,0,4
GRIN2D,4,0,4
RIT1,3,1,4
RLF,1,3,4
ECSIT,2,2,4
FLOT1,4,0,4
FSHR,4,0,4
RICTOR,3,1,4
HOXD11,2,2,4
EXOC7,3,1,4
EXT1,1,3,4
EPRS1,3,1,4
CCL18,1,3,4
ADIPOR2,1,3,4
MYO1E,3,1,4
MYO9B,1,3,4
G3BP2,2,2,4
GABARAPL1,3,1,4
RBP1,2,2,4
NSD2,3,1,4
TBR1,2,2,4
RRAGC,3,1,4
GTF2IRD1,2,2,4
MOB1A,2,2,4
GRK4,0,4,4
CCNH,3,1,4
CCNT1,2,2,4
CCNT2,3,1,4
RGMA,1,3,4
CSN2,4,0,4
CHD2,1,3,4
RAB4A,4,0,4
SNAP25,4,0,4
TBC1D1,4,0,4
RRM2B,3,1,4
RPL10,2,2,4
ATG14,2,2,4
PROM1,4,0,4
DMD,4,0,4
NT5E,4,0,4
ERCC3,4,0,4
APH1B,0,4,4
FOXI1,1,3,4
IDH2,4,0,4
HSPE1,0,4,4
PMP22,2,2,4
PNOC,0,4,4
ATAD2,0,4,4
C1QB,2,2,4
CLDN4,4,0,4
P4HB,2,2,4
AKAP5,2,2,4
AKAP8,2,2,4
SPRY1,2,2,4
TRIM5,3,1,4
NCF4,4,0,4
STAMBP,4,0,4
DAPP1,4,0,4
GABRA1,4,0,4
CXCL16,0,4,4
CDC23,4,0,4
RNF20,3,1,4
RNF40,3,1,4
TFF2,1,3,4
TFF3,2,2,4
ELN,4,0,4
CYP11A1,4,0,4
TRIP11,2,2,4
MLST8,2,2,4
CSPG4,4,0,4
GLRA1,4,0,4
GRIK2,4,0,4
CHRM4,0,4,4
COMT,4,0,4
DIO1,4,0,4
C3AR1,4,0,4
HELLS,0,4,4
ARHGEF4,2,2,4
APC2,2,2,4
PPP1R12C,4,0,4
UCP1,4,0,4
RAB8A,4,0,4
SP7,3,1,4
CXADR,3,1,4
ROBO4,4,0,4
TRPM8,4,0,4
SAV1,2,2,4
DLG3,4,0,4
CDH17,3,1,4
EIF3E,0,4,4
PSENEN,2,2,4
CCT2,4,0,4
IL5RA,2,2,4
TARBP2,3,1,4
INHA,0,4,4
TDP2,2,2,4
NPAS2,2,2,4
DHX8,4,0,4
PAX4,2,2,4
PAXIP1,1,3,4
ROBO2,3,1,4
ROR1,2,2,4
ARID1A,4,0,4
ARID4B,4,0,4
BPTF,4,0,4
CACNB4,4,0,4
RPL13A,2,2,4
KISS1,3,1,4
MBD1,1,3,4
MBD2,2,2,4
MBL2,1,3,4
PKMYT1,3,1,4
TBX3,1,3,4
TANK,1,3,4
ADCY8,4,0,4
CACNA1A,4,0,4
CDH6,2,2,4
C5,0,4,4
USP6NL,4,0,4
CCNE2,3,1,4
KAT8,1,3,4
KCNQ1,4,0,4
CBFA2T3,1,3,4
KIF3A,4,0,4
GCK,4,0,4
MAP1LC3C,3,1,4
FGF16,0,4,4
FGF17,0,4,4
FGF18,0,4,4
NACC1,2,2,4
RAB2A,2,2,4
EIF3B,4,0,4
PIP5K1B,4,0,4
STRAP,4,0,4
RAD52,3,1,4
NACA,4,0,4
ORC1,4,0,4
PDS5B,4,0,4
PTPN14,0,4,4
TRAF5,3,1,4
DFFA,3,1,4
RNMT,4,0,4
SMC4,4,0,4
SOX11,4,0,4
FKBP4,2,2,4
MSH2,2,2,4
LEFTY1,1,3,4
FGF20,0,4,4
PFKP,3,1,4
KIF22,4,0,4
TUBB3,4,0,4
ARHGAP22,1,3,4
ARHGAP33,3,1,4
SLURP1,0,4,4
GCLC,4,0,4
SLC9A3,4,0,4
FARP2,1,3,4
TNFSF12,0,4,4
DCK,3,1,4
DCLRE1C,2,2,4
COL6A1,0,4,4
ICOS,2,2,4
SYNPO,4,0,4
TACC3,4,0,4
HAVCR2,4,0,4
CTBP2,2,2,4
POLK,4,0,4
PRKAR1B,2,2,4
SERPINB2,3,1,4
SERPINF1,3,1,4
SEMA3C,1,3,4
SLC6A3,4,0,4
MCM5,4,0,4
MCM6,4,0,4
LCP1,4,0,4
PLIN1,4,0,4
BCORL1,0,4,4
FLRT2,1,3,4
COL7A1,2,2,4
HOXC13,1,3,4
CDKL5,3,1,4
CLTB,4,0,4
KIF7,1,3,4
FZD9,4,0,4
PNKP,4,0,4
ADAMTS1,2,2,4
ADAMTS5,3,1,4
ATP2B2,4,0,4
GJB2,3,1,4
GC,2,2,4
PPP1R13L,2,2,4
PPP1R3A,3,1,4
PDCD1LG2,2,2,4
NDRG2,4,0,4
GABPB1,0,4,4
FOXD3,0,4,4
FOXF1,3,1,4
FOXG1,3,1,4
WNT8B,1,3,4
PJA1,2,2,4
SRGN,3,1,4
SFRP2,1,3,4
OMG,0,4,4
NKD1,1,3,4
BAG2,1,3,4
HLA-DQA2,0,4,4
HLA-DQB2,0,4,4
CC2D1A,2,2,4
MEF2B,4,0,4
RBM39,4,0,4
DBN1,4,0,4
MLKL,4,0,4
ANGPTL3,1,3,4
CARD18,0,4,4
CEP164,3,0,3
TKT,3,0,3
ANPEP,2,1,3
COL9A1,1,2,3
SDHA,2,1,3
SETBP1,0,3,3
SETD1B,0,3,3
SETD5,0,3,3
SETD7,0,3,3
SH3GL1,3,0,3
FOXD1,1,2,3
NDUFS4,3,0,3
CSRP1,2,1,3
TFB2M,2,1,3
GREM1,2,1,3
GDF10,0,3,3
FOXF2,1,2,3
PIP5K1A,2,1,3
SETDB2,0,3,3
DLG2,2,1,3
DLGAP3,0,3,3
CRIM1,0,3,3
LTBP1,1,2,3
DICER1,3,0,3
DSTN,3,0,3
ADA,0,3,3
BCL11B,2,1,3
PCGF2,1,2,3
PPIA,0,3,3
ANAPC5,3,0,3
TDP1,3,0,3
CTF1,0,3,3
PRDX2,3,0,3
ERCC4,3,0,3
MICA,3,0,3
PTCRA,1,2,3
PTGDR,1,2,3
MUTYH,0,3,3
MSR1,2,1,3
ANOS1,1,2,3
CLDN3,3,0,3
RASAL1,0,3,3
TFAP2C,2,1,3
FBLN1,1,2,3
COL6A3,0,3,3
HOXC11,1,2,3
PPP2R1A,0,3,3
FBLN5,2,1,3
LGR6,3,0,3
CRLF2,2,1,3
CTSK,2,1,3
CUL5,2,1,3
CLDN6,3,0,3
DHFR,3,0,3
TPM3,3,0,3
MAP3K13,1,2,3
LZTR1,2,1,3
ASH2L,1,2,3
STXBP4,1,2,3
COL5A3,0,3,3
COL6A2,0,3,3
RASA4,0,3,3
CD1A,3,0,3
FSCN1,3,0,3
NXF1,3,0,3
SLC1A3,3,0,3
ABCC3,3,0,3
CYP1B1,3,0,3
NDUFV1,3,0,3
IFNA4,1,2,3
PRDM16,1,2,3
RARRES2,0,3,3
ATRX,2,1,3
IBSP,1,2,3
IDE,0,3,3
MPRIP,2,1,3
LRP1B,1,2,3
LRRFIP1,2,1,3
NCF2,3,0,3
SEMA6A,1,2,3
SENP2,1,2,3
NAP1L1,2,1,3
PODXL,2,1,3
IL18R1,2,1,3
IL20,0,3,3
DOCK2,1,2,3
GNG3,1,2,3
TTBK1,0,3,3
CACNA1H,3,0,3
ME1,3,0,3
IFNA10,0,3,3
IFNA14,1,2,3
CCNG1,3,0,3
TRAF4,3,0,3
MXD3,3,0,3
SESN1,3,0,3
PGM1,3,0,3
ONECUT2,1,2,3
COL9A2,1,2,3
IGBP1,3,0,3
ERCC1,3,0,3
CCL4L2,0,3,3
CCN3,1,2,3
CCN4,1,2,3
MBD4,2,1,3
ANAPC4,3,0,3
IQGAP3,3,0,3
NCAPG,3,0,3
SOCS5,1,2,3
UQCRC2,3,0,3
RPLP2,3,0,3
ARHGAP26,2,1,3
CREB3,2,1,3
SLX4,2,1,3
EN1,2,1,3
EN2,1,2,3
RASGRP1,3,0,3
XPO5,3,0,3
TEAD4,2,1,3
TLR8,0,3,3
KLF3,2,1,3
HEBP1,0,3,3
PARVA,2,1,3
ISG15,2,1,3
PKLR,3,0,3
TBXT,3,0,3
RAD23A,2,1,3
UGT2B7,3,0,3
EIF4A1,3,0,3
PTBP1,3,0,3
SOS2,1,2,3
STC2,2,1,3
CARD14,2,1,3
HRG,0,3,3
MCC,3,0,3
RSAD2,3,0,3
SOX3,2,1,3
CYTH1,2,1,3
GLA,3,0,3
LIN28A,2,1,3
SERPINA5,2,1,3
RRBP1,3,0,3
TRERF1,3,0,3
ZMYM3,3,0,3
CPT1A,3,0,3
PDLIM4,3,0,3
PPP4R2,3,0,3
PSMD1,3,0,3
RBM14,3,0,3
RBMX,3,0,3
PERP,2,1,3
PMS2,2,1,3
ATG12,2,1,3
NRBF2,1,2,3
TSHZ3,1,2,3
HES6,2,1,3
FNIP1,1,2,3
GGT1,1,2,3
AP2M1,1,2,3
TACSTD2,2,1,3
SPDEF,0,3,3
FLNB,3,0,3
CYP1A1,3,0,3
SLC6A2,3,0,3
SIVA1,2,1,3
TBL1X,0,3,3
HAX1,2,1,3
PPP1R12B,2,1,3
MCM10,1,2,3
RRAGD,2,1,3
CYC1,3,0,3
GJC2,3,0,3
TRIM37,2,1,3
GRSF1,3,0,3
H1-5,3,0,3
CACNA1E,3,0,3
CHTF18,3,0,3
CLMN,3,0,3
CTDNEP1,0,3,3
RPL5,0,3,3
RPRD1B,2,1,3
ORM1,2,1,3
HTR1F,1,2,3
HAND2,1,2,3
MAPKAP1,1,2,3
PPP2R2B,1,2,3
PPP2R5B,0,3,3
HCFC1,1,2,3
HCRT,0,3,3
RBM38,2,1,3
NRG4,0,3,3
KISS1R,1,2,3
NAIP,0,3,3
CRADD,1,2,3
MTHFR,3,0,3
BEX3,3,0,3
MTCP1,0,3,3
MGP,1,2,3
E2F5,2,1,3
CDCA2,2,1,3
CDCA4,1,2,3
CDH15,1,2,3
SMARCA5,3,0,3
HDAC9,1,2,3
SHC2,2,1,3
NEDD8,0,3,3
NEK3,1,2,3
CLK3,2,1,3
GSTA4,3,0,3
CLDN5,3,0,3
CCR9,2,1,3
SARS1,2,1,3
GJA5,3,0,3
AKAP11,1,2,3
ORAI1,2,1,3
MCU,3,0,3
NKX6-1,3,0,3
GLUD1,2,1,3
GMPS,2,1,3
EHF,2,1,3
EHMT1,1,2,3
EIF2AK1,1,2,3
EIF2AK4,1,2,3
EIF2B2,1,2,3
MLF1,0,3,3
IL36G,0,3,3
ADGRE5,2,1,3
BACH2,2,1,3
CLDN16,2,1,3
CRTC3,2,1,3
RGS14,3,0,3
SLC24A2,3,0,3
CYP11B2,3,0,3
EIF4G3,3,0,3
HSPA6,3,0,3
EIF2B3,1,2,3
EIF2B4,1,2,3
PRPF3,3,0,3
RFFL,2,1,3
COL11A1,1,2,3
KDM2A,2,1,3
KDM4A,0,3,3
KDM5D,0,3,3
SELENOP,3,0,3
ACSL1,3,0,3
EIF3A,3,0,3
LRIG3,1,2,3
NPPB,1,2,3
RARRES1,2,1,3
GRIK1,3,0,3
CACNA1D,3,0,3
EVL,3,0,3
CFI,2,1,3
SLC5A1,3,0,3
AKR1C4,3,0,3
ALDOA,3,0,3
DIP2A,0,3,3
IL26,0,3,3
DISC1,1,2,3
DKC1,2,1,3
DKK2,0,3,3
DKK4,0,3,3
OAT,3,0,3
TSG101,3,0,3
IGF2BP1,0,3,3
FERMT3,1,2,3
FFAR3,0,3,3
CNTNAP2,2,1,3
CCL14,0,3,3
RAP2A,1,2,3
ARHGEF10,0,3,3
RND1,2,1,3
VIL1,3,0,3
S100A11,1,2,3
CD24,2,1,3
BMP8B,0,3,3
AKR1B1,0,3,3
AKR1C2,2,1,3
ESM1,3,0,3
PHOX2A,3,0,3
OCA2,3,0,3
STX4,3,0,3
ZDHHC2,0,3,3
YWHAG,2,1,3
NKD2,2,1,3
BAG4,2,1,3
GSTM3,1,2,3
RANBP9,3,0,3
PTGIS,3,0,3
CASP4,1,2,3
CAND1,0,3,3
CAP1,2,1,3
PTX3,2,1,3
SNIP1,0,3,3
SRCAP,0,3,3
PXDN,2,1,3
XCR1,3,0,3
PIK3C2B,3,0,3
RTN4R,3,0,3
ITGAE,2,1,3
ZIC2,1,2,3
ZKSCAN3,0,3,3
GABBR2,3,0,3
COL13A1,3,0,3
MRAS,3,0,3
ANGPT4,1,2,3
SOX5,0,3,3
CX3CR1,2,1,3
TOLLIP,2,1,3
TMPRSS2,2,1,3
GOLPH3,2,1,3
GOPC,0,3,3
XAF1,0,3,3
UBE2T,0,3,3
RND3,2,1,3
RNF126,1,2,3
PSMA6,1,2,3
TELO2,1,2,3
TESK2,0,3,3
ANAPC2,2,1,3
ANAPC7,2,1,3
TRIM71,2,1,3
TRIP13,1,2,3
NUP50,3,0,3
TPM1,3,0,3
RBM15,3,0,3
NMI,1,2,3
NMS,0,3,3
NTSR1,0,3,3
NUDC,2,1,3
PTPRU,1,2,3
RALB,2,1,3
DFFB,3,0,3
CUL4A,3,0,3
DIAPH1,1,2,3
ZFP36L1,3,0,3
ADAR,3,0,3
KRT20,3,0,3
IRAK3,2,1,3
GRM3,2,1,3
CD2,3,0,3
CCRL2,3,0,3
TP53AIP1,2,1,3
NTN4,0,3,3
IFNA7,1,2,3
IFNA8,1,2,3
MAGED1,2,1,3
MAGEL2,2,1,3
CASQ2,3,0,3
MFAP1,3,0,3
AKAP13,2,1,3
SMYD2,1,2,3
MOS,1,2,3
FLNC,3,0,3
NHEJ1,3,0,3
IQGAP2,3,0,3
RXFP2,3,0,3
KCNN4,3,0,3
PGD,3,0,3
AHSA1,1,2,3
DPF2,1,2,3
FRS3,2,1,3
USP2,2,1,3
DUSP8,0,3,3
HIPK3,0,3,3
HJURP,2,1,3
LMO2,0,3,3
LMO3,0,3,3
DPP6,2,1,3
SLAMF1,3,0,3
ADIPOR1,2,1,3
AICDA,3,0,3
HOXD10,1,2,3
SYNGAP1,1,2,3
BIRC7,2,1,3
DEFB4A,1,2,3
DACT2,0,3,3
DAP3,2,1,3
DDX17,1,2,3
DDX20,2,1,3
LHX2,1,2,3
BMP5,1,2,3
GRIP1,1,2,3
MYO5A,1,2,3
SIPA1,2,1,3
SIRPG,2,1,3
PDE1C,3,0,3
CXCR5,3,0,3
WDHD1,2,1,3
ACOX1,2,1,3
HNRNPH2,2,1,3
TNIK,0,3,3
WIF1,1,2,3
WIPI2,2,1,3
CDK12,1,2,3
SFTPC,3,0,3
CALCRL,3,0,3
PAPOLA,3,0,3
JAKMIP1,1,2,3
PROK2,1,2,3
RING1,1,2,3
EDA,0,3,3
CDHR2,1,2,3
HSPA2,1,2,3
SH3GL2,3,0,3
COL10A1,3,0,3
HAMP,3,0,3
TDO2,3,0,3
AIRE,3,0,3
ANAPC11,3,0,3
HIRIP3,3,0,3
HNRNPC,3,0,3
UCN,1,2,3
UCP2,2,1,3
VPS18,2,1,3
TPM2,3,0,3
KMT2B,2,1,3
KMT2E,2,1,3
DTX4,1,2,3
TNIP1,1,2,3
TNKS2,0,3,3
UHRF2,1,2,3
TTR,3,0,3
MMP10,3,0,3
CTNNBIP1,1,2,3
UBA52,2,1,3
UBAP2L,1,2,3
UBE2E3,2,1,3
IL36RN,3,0,3
VAMP2,3,0,3
LIG3,3,0,3
KCNA3,3,0,3
LIN28B,3,0,3
ATIC,2,0,2
ANGPTL1,0,2,2
TOM1L2,2,0,2
PRKAG3,2,0,2
FTO,2,0,2
POLD4,2,0,2
PIP,0,2,2
TBX6,2,0,2
MX1,1,1,2
CLEC4G,1,1,2
LTB,0,2,2
ATP1A3,2,0,2
ATP2A1,2,0,2
NR2E1,2,0,2
EML4,2,0,2
PSMD11,2,0,2
ADAM28,1,1,2
PTGES3,1,1,2
TTI1,1,1,2
PPP2R1B,0,2,2
MYBL1,2,0,2
CRHR2,2,0,2
ARIH2,2,0,2
LAMP2,2,0,2
NECTIN4,2,0,2
YTHDC1,2,0,2
KMT2C,1,1,2
KMT5B,0,2,2
KPNA1,0,2,2
NIN,1,1,2
TOR1AIP1,1,1,2
ALAS1,2,0,2
CD8A,2,0,2
KIRREL3,0,2,2
UBASH3B,0,2,2
UBC,1,1,2
GAMT,2,0,2
EEF1E1,0,2,2
CDH7,1,1,2
CDH8,0,2,2
CDH9,0,2,2
HOXB9,2,0,2
IL17RB,2,0,2
IL27RA,2,0,2
FEZ1,2,0,2
GBX2,2,0,2
HESX1,2,0,2
HSD3B1,2,0,2
MTA3,2,0,2
ACTN4,2,0,2
KRT5,2,0,2
HOXC5,2,0,2
CADM2,0,2,2
WDCP,1,1,2
VDAC2,1,1,2
PDGFD,0,2,2
PON2,1,1,2
CHAD,0,2,2
LGALS3BP,1,1,2
LARP4B,1,1,2
LARP7,1,1,2
NEK8,1,1,2
FGL1,0,2,2
EEA1,2,0,2
CD226,2,0,2
CCL22,0,2,2
CCL24,0,2,2
ECHS1,2,0,2
NONO,1,1,2
STOM,1,1,2
STRADA,1,1,2
STRADB,0,2,2
STRN,0,2,2
DENR,1,1,2
DACH1,1,1,2
DDX41,1,1,2
CCL17,0,2,2
MYO6,1,1,2
PDE1B,2,0,2
DDX6,1,1,2
SIK3,1,1,2
SIKE1,1,1,2
SIM2,1,1,2
SLC3A2,1,1,2
FAM13A,1,1,2
GXYLT2,0,2,2
HOMER1,0,2,2
ZNF318,1,1,2
SKAP1,2,0,2
CKAP4,2,0,2
GH2,1,1,2
GHRL,1,1,2
ITPR2,1,1,2
EPGN,0,2,2
ZNF281,2,0,2
BRDT,1,1,2
KANK1,1,1,2
RHOH,0,2,2
LDHB,2,0,2
HOXD13,0,2,2
IFNE,0,2,2
RTF1,2,0,2
DHX16,2,0,2
AP3B2,2,0,2
HOXB6,2,0,2
SF3B2,2,0,2
SLC39A7,2,0,2
SPRED1,1,1,2
DYNLL2,0,2,2
MOV10,0,2,2
COPS6,2,0,2
LARP1,2,0,2
SRSF10,2,0,2
RXFP1,2,0,2
NLGN1,1,1,2
DOK3,1,1,2
DDX1,1,1,2
IFNK,0,2,2
PDE4DIP,0,2,2
MYL3,2,0,2
GPT,2,0,2
CYP3A5,2,0,2
TRIM29,2,0,2
XAB2,2,0,2
ATXN2,2,0,2
GRM2,1,1,2
GRM8,1,1,2
FOXN1,1,1,2
SERBP1,2,0,2
CNBP,1,1,2
NTN3,0,2,2
IFNA6,0,2,2
MYL1,2,0,2
DIAPH3,1,1,2
REPS2,1,1,2
REV1,1,1,2
TMOD1,1,1,2
PITX3,1,1,2
FLG,2,0,2
SH2D2A,2,0,2
NAGLU,2,0,2
MLLT3,1,1,2
BTAF1,1,1,2
PBX3,1,1,2
LIMD1,2,0,2
RBM17,2,0,2
ZNF516,2,0,2
ZNF521,1,1,2
ADAMTS4,1,1,2
SRMS,0,2,2
SRP54,0,2,2
STIL,1,1,2
CLIP2,2,0,2
MT2A,2,0,2
LINGO1,2,0,2
KLB,2,0,2
KCNJ3,2,0,2
NEUROG2,2,0,2
PTGDS,2,0,2
PDLIM5,2,0,2
CACNB1,2,0,2
ILKAP,2,0,2
SLC6A8,1,1,2
CBFB,1,1,2
CNOT3,1,1,2
CNP,1,1,2
CCL15,0,2,2
ZFX,1,1,2
RLN1,0,2,2
BNIP2,1,1,2
AKAP9,1,1,2
RNASEL,2,0,2
PI4K2A,1,1,2
PICALM,0,2,2
OLIG2,2,0,2
BAP1,0,2,2
GSTM2,1,1,2
NPY2R,2,0,2
NETO2,2,0,2
SLCO1B1,2,0,2
ZFP42,2,0,2
SLC25A20,2,0,2
COX4I1,2,0,2
ATP5PO,2,0,2
HSF4,2,0,2
NDUFS8,2,0,2
UQCRC1,2,0,2
PPP1R14C,2,0,2
SLC1A6,2,0,2
DIO2,1,1,2
COX7C,2,0,2
SDHC,2,0,2
PCMT1,2,0,2
IQSEC1,0,2,2
FEZF2,1,1,2
RNF135,1,1,2
INVS,1,1,2
UBE2B,2,0,2
SPRR1B,2,0,2
CA9,2,0,2
GNMT,2,0,2
KCNJ13,2,0,2
CFD,1,1,2
BABAM1,1,1,2
KRT4,2,0,2
SSPN,2,0,2
ABCG5,2,0,2
ABCG8,2,0,2
ACADM,2,0,2
CYP2C9,2,0,2
CYP2D6,2,0,2
CYP8B1,2,0,2
SIRT4,1,1,2
CDH16,1,1,2
KCTD13,1,1,2
PRTG,1,1,2
AKR1C3,2,0,2
CPT2,2,0,2
GLUL,2,0,2
NPC1,2,0,2
RASSF2,2,0,2
SLC31A2,2,0,2
CLDN11,2,0,2
CYP24A1,2,0,2
CYP27B1,2,0,2
DHX36,2,0,2
HNRNPL,2,0,2
NPVF,0,2,2
IL34,0,2,2
ADGRB1,1,1,2
DNAJB4,1,1,2
CCDC88C,1,1,2
KCNK9,2,0,2
PAH,2,0,2
RGS10,2,0,2
SLC4A4,2,0,2
SRY,2,0,2
CRIP2,2,0,2
CST4,2,0,2
ARX,2,0,2
PARN,1,1,2
RABEP1,1,1,2
UGT1A9,2,0,2
SCO2,1,1,2
PROKR2,2,0,2
PFKL,2,0,2
DGKD,2,0,2
PACRG,2,0,2
CA2,1,1,2
C4B,0,2,2
UGT1A4,2,0,2
KIF5C,2,0,2
SLC1A1,2,0,2
SLC39A8,2,0,2
ABRAXAS1,1,1,2
GPRC5A,2,0,2
RAD1,1,1,2
TCL1B,0,2,2
TCN2,0,2,2
IL33,1,1,2
CRYBA4,2,0,2
FMNL2,2,0,2
GIT2,2,0,2
SLC6A9,2,0,2
SNAP23,2,0,2
TUBA1C,2,0,2
AP2A1,2,0,2
AQP2,2,0,2
EDAR,2,0,2
EHD1,1,1,2
HDAC8,1,1,2
AFF1,2,0,2
IL17F,0,2,2
IL11RA,1,1,2
TNR,2,0,2
MAOA,2,0,2
KCTD11,0,2,2
KPNA4,0,2,2
KPNB1,1,1,2
STK25,1,1,2
PPP2R2C,1,1,2
FBXO3,0,2,2
CACNA2D2,1,1,2
ACHE,2,0,2
ISL1,2,0,2
DBNL,1,1,2
DCAF1,0,2,2
MT3,0,2,2
E2F7,0,2,2
SLITRK3,1,1,2
CDCP1,1,1,2
CDH11,1,1,2
NSD1,0,2,2
STARD13,0,2,2
NSD3,0,2,2
MADD,1,1,2
EGR3,1,1,2
UTRN,2,0,2
ANXA5,2,0,2
PLVAP,2,0,2
GSTA1,2,0,2
FCRL4,2,0,2
GPR161,1,1,2
KAT6B,1,1,2
EIF4EBP2,1,1,2
EIF4H,1,1,2
CD160,1,1,2
C9orf72,1,1,2
ATAD5,1,1,2
TFG,0,2,2
PLTP,1,1,2
TSLP,0,2,2
FNIP2,0,2,2
ARHGEF9,1,1,2
HMGCS1,2,0,2
NREP,2,0,2
GPSM2,2,0,2
KLK4,2,0,2
PRDX6,2,0,2
TLX2,2,0,2
CLTCL1,2,0,2
BNC1,2,0,2
